# {"Available memory": 12437, "Power": 250, "time_start": 1570699003.5435653, "env": "PongNoFrameskip-v4"} 
time,episode_length,memory_mean,power_mean,fan_speed_mean,temperature_mean,gpu_utilization_mean,memory_utilization_mean
19577.794391,3145,822.0,63.598,31.373,53.277,8.372,2.776
19970.633625,3489,822.0,63.701,32.0,53.918,8.656,2.877
20362.985612,3509,822.0,63.606,32.0,53.119,8.588,2.867
20758.058246,2852,822.0,63.363,30.446,51.407,8.631,2.874
21155.179414,3590,822.0,63.386,29.681,52.338,8.64,2.889
21486.724564,3037,822.0,63.704,31.165,53.534,8.637,2.883
21850.670839,3344,822.0,63.792,32.0,54.0,8.633,2.89
22205.394403,3212,822.0,63.77,32.0,53.901,8.659,2.877
22534.313947,3003,822.0,63.673,32.0,53.05,8.637,2.886
23033.466766,4495,822.0,63.453,31.41,53.0,8.559,2.842
23423.087558,3507,822.0,63.463,31.0,53.0,8.643,2.881
23677.316223,2314,822.0,63.457,31.0,53.0,8.629,2.885
23963.614511,2586,822.0,63.465,31.522,53.503,8.591,2.845
24335.574896,3303,822.0,63.55,32.0,53.995,8.583,2.851
24645.396659,2749,822.0,63.599,32.0,53.72,8.52,2.825
24954.283191,2794,822.0,63.568,32.0,53.039,8.559,2.844
25278.72932,2912,822.0,63.458,31.886,53.0,8.559,2.843
25622.577857,3058,822.0,63.635,31.988,53.555,8.583,2.878
25953.942342,2979,822.0,63.682,32.0,54.0,8.572,2.845
26350.259292,3625,822.0,63.797,32.0,53.95,8.585,2.853
26673.46992,2926,822.0,63.731,32.0,53.064,8.621,2.878
27159.576383,4424,822.0,63.632,31.971,53.172,8.609,2.877
27490.32186,3040,822.0,63.805,32.0,53.999,8.606,2.872
27785.709498,2666,822.0,63.791,32.0,53.547,8.603,2.872
28294.639913,3907,822.0,63.294,29.217,51.382,8.635,2.892
28663.464563,3386,822.0,63.706,31.073,53.323,8.652,2.893
29077.207612,3741,822.0,63.733,31.995,53.864,8.63,2.883
29516.348319,4034,822.0,63.713,32.0,53.037,8.632,2.875
29840.795817,2985,822.0,63.672,31.293,53.0,8.627,2.871
30191.182833,3115,822.0,63.584,31.001,53.006,8.576,2.853
30511.655489,2888,822.0,63.649,31.872,53.775,8.592,2.864
30921.262611,3648,822.0,63.541,32.0,53.267,8.608,2.845
31312.520904,3367,822.0,63.384,32.0,53.02,8.635,2.838
31696.901268,2627,822.0,62.857,29.312,50.874,8.66,2.844
32122.096172,3699,822.0,63.363,30.83,53.543,8.648,2.831
32581.445703,3986,822.0,63.554,32.0,54.0,8.669,2.848
33054.616519,4169,822.0,63.507,32.0,53.947,8.704,2.866
33561.289502,4421,822.0,63.442,32.0,53.391,8.681,2.846
34018.047308,4001,822.0,63.363,32.0,53.004,8.652,2.841
34527.133954,4440,822.0,63.475,31.995,53.485,8.625,2.833
34843.963964,2715,822.0,63.607,32.0,54.0,8.635,2.827
35308.235894,4039,822.0,63.498,32.0,53.941,8.628,2.83
35691.036641,3345,822.0,63.493,32.0,53.343,8.617,2.821
36049.057168,3107,822.0,63.434,32.0,53.164,8.687,2.854
36476.858985,3743,822.0,63.376,32.0,53.094,8.616,2.813
36809.096955,2915,822.0,63.433,31.998,53.007,8.65,2.842
37304.820355,4308,822.0,63.405,32.0,53.336,8.655,2.842
37799.102633,4358,822.0,63.602,32.0,54.0,8.676,2.856
38160.541449,3124,822.0,63.593,32.0,53.999,8.659,2.847
38505.00583,3034,822.0,63.485,32.0,53.889,8.663,2.83
38925.46848,3690,822.0,63.48,32.0,53.995,8.648,2.829
39255.353718,2855,822.0,63.516,32.0,53.853,8.677,2.845
39725.134678,4125,822.0,63.524,32.0,53.098,8.635,2.832
40137.666335,3613,822.0,63.482,32.0,53.154,8.646,2.836
40560.081228,3627,822.0,63.274,32.0,53.114,8.607,2.819
40972.33648,3612,822.0,63.374,32.0,53.071,8.643,2.838
41279.596246,2713,822.0,63.426,32.0,53.003,8.69,2.846
41664.919336,3316,822.0,63.277,31.989,53.217,8.658,2.83
42092.212045,3770,822.0,63.581,32.0,54.0,8.684,2.845
42616.576482,3903,822.0,63.026,30.304,52.236,8.632,2.816
43038.644502,3641,822.0,63.336,31.395,53.494,8.658,2.833
43443.154279,3520,822.0,63.377,32.0,53.057,8.635,2.818
43763.43631,2766,822.0,63.326,32.0,53.01,8.634,2.806
44220.368278,3900,822.0,63.352,32.0,53.008,8.63,2.808
44567.268836,2996,822.0,63.372,31.999,53.033,8.645,2.812
45038.9124,4032,822.0,63.348,32.0,53.024,8.644,2.82
45461.398985,3694,822.0,63.422,32.0,53.076,8.706,2.831
45967.122833,3732,822.0,63.164,31.144,52.178,8.714,2.838
46396.513216,3711,822.0,63.287,30.266,52.768,8.698,2.839
46925.512542,4617,822.0,63.481,31.579,53.091,8.692,2.84
47323.620466,3464,822.0,63.426,32.0,53.181,8.676,2.821
47691.34813,3141,822.0,63.371,32.0,53.129,8.632,2.813
48089.151287,3478,822.0,63.38,32.0,53.232,8.714,2.834
48581.88087,4250,822.0,63.339,32.0,53.107,8.683,2.823
49042.58037,3983,822.0,63.345,32.0,53.136,8.641,2.799
49422.814838,3265,822.0,63.347,32.0,53.068,8.619,2.795
49851.039345,3618,822.0,63.297,32.0,53.02,8.578,2.797
50224.316457,3247,822.0,63.434,32.0,53.043,8.691,2.81
50708.906184,4190,822.0,63.295,32.0,53.065,8.667,2.813
51231.32774,4483,822.0,63.395,31.999,53.008,8.65,2.824
51659.919368,3723,822.0,63.419,31.998,53.05,8.677,2.826
52196.905166,4591,822.0,63.517,32.0,53.98,8.643,2.798
52627.389088,3724,822.0,63.502,32.0,53.979,8.66,2.835
53238.060985,4472,822.0,63.118,30.734,52.421,8.654,2.814
53666.962833,3714,822.0,63.345,30.57,53.122,8.71,2.819
54023.912603,3113,822.0,63.422,31.759,53.41,8.683,2.812
54393.784899,3227,822.0,63.467,32.0,53.076,8.682,2.815
54856.958259,3966,822.0,63.463,32.0,53.022,8.642,2.814
55324.289376,4083,822.0,63.45,32.0,53.157,8.725,2.847
55842.672924,4422,822.0,63.354,32.0,53.127,8.614,2.806
56334.042696,4272,822.0,63.43,32.0,53.067,8.684,2.828
56798.607119,3976,822.0,63.404,31.997,53.018,8.674,2.825
57189.557065,3391,822.0,63.388,32.0,53.045,8.655,2.811
57639.796671,3895,822.0,63.338,32.0,53.021,8.64,2.803
58153.698901,4373,822.0,63.269,31.906,53.001,8.598,2.803
58550.151994,3413,822.0,63.191,31.746,53.0,8.604,2.806
58965.231384,3617,822.0,63.27,31.814,53.001,8.656,2.815
59418.973496,3906,822.0,63.278,31.893,53.001,8.694,2.837
59800.037142,3291,822.0,63.205,31.824,53.001,8.655,2.814
60216.329244,3514,822.0,63.201,31.642,53.0,8.472,2.752
60699.442521,4063,822.0,63.254,31.276,53.0,8.544,2.777
61047.415879,3002,822.0,63.233,31.817,53.001,8.622,2.801
61555.721768,4347,822.0,63.292,31.38,53.0,8.66,2.802
61919.793872,3148,822.0,63.279,31.02,53.0,8.686,2.803
62251.436756,2851,822.0,63.191,31.0,53.0,8.613,2.798
62716.878195,4001,822.0,63.379,31.424,53.361,8.689,2.827
63210.532219,4344,822.0,63.642,32.0,54.0,8.745,2.855
63759.60388,4750,822.0,63.599,32.0,53.991,8.681,2.821
64274.285827,3964,822.0,63.175,30.547,52.331,8.668,2.817
64682.320482,3566,822.0,63.34,31.526,53.387,8.668,2.843
65067.674585,3317,822.0,63.386,32.0,53.44,8.623,2.842
